🇨🇳｜央视频道,#genre#
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CCTV1,http://xjayrf.eatuo.com:9901/tsfile/live/1020_1.m3u8
CCTV2,http://xjayrf.eatuo.com:9901/tsfile/live/1021_1.m3u8
CCTV3,http://xjayrf.eatuo.com:9901/tsfile/live/1022_1.m3u8
CCTV5,http://xjayrf.eatuo.com:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://xjayrf.eatuo.com:9901/tsfile/live/1025_1.m3u8
CCTV6,http://xjayrf.eatuo.com:9901/tsfile/live/1026_1.m3u8
CCTV7,http://xjayrf.eatuo.com:9901/tsfile/live/1027_1.m3u8
CCTV8,http://xjayrf.eatuo.com:9901/tsfile/live/1028_1.m3u8
CCTV9,http://xjayrf.eatuo.com:9901/tsfile/live/1029_1.m3u8
CCTV10,http://xjayrf.eatuo.com:9901/tsfile/live/1030_1.m3u8
CCTV12,http://xjayrf.eatuo.com:9901/tsfile/live/1032_1.m3u8
CCTV13,http://xjayrf.eatuo.com:9901/tsfile/live/1033_1.m3u8
CCTV14,http://xjayrf.eatuo.com:9901/tsfile/live/1034_1.m3u8
CCTV15,http://xjayrf.eatuo.com:9901/tsfile/live/1035_1.m3u8
CCTV17,http://xjayrf.eatuo.com:9901/tsfile/live/1036_1.m3u8
CCTV1,http://xjayrf.eatuo.com:9901/tsfile/live/1020_1.m3u8
CCTV2,http://xjayrf.eatuo.com:9901/tsfile/live/1021_1.m3u8
CCTV3,http://xjayrf.eatuo.com:9901/tsfile/live/1022_1.m3u8
CCTV5,http://xjayrf.eatuo.com:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://xjayrf.eatuo.com:9901/tsfile/live/1025_1.m3u8
CCTV6,http://xjayrf.eatuo.com:9901/tsfile/live/1026_1.m3u8
CCTV7,http://xjayrf.eatuo.com:9901/tsfile/live/1027_1.m3u8
CCTV8,http://xjayrf.eatuo.com:9901/tsfile/live/1028_1.m3u8
CCTV9,http://xjayrf.eatuo.com:9901/tsfile/live/1029_1.m3u8
CCTV10,http://xjayrf.eatuo.com:9901/tsfile/live/1030_1.m3u8
CCTV12,http://xjayrf.eatuo.com:9901/tsfile/live/1032_1.m3u8
CCTV13,http://xjayrf.eatuo.com:9901/tsfile/live/1033_1.m3u8
CCTV14,http://xjayrf.eatuo.com:9901/tsfile/live/1034_1.m3u8
CCTV15,http://xjayrf.eatuo.com:9901/tsfile/live/1035_1.m3u8
CCTV17,http://xjayrf.eatuo.com:9901/tsfile/live/1036_1.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
