央视,#genre#	
青海卫视,http://125.210.152.19:9120/live/hszx-qhtv-h264.m3u8
四川卫视,http://125.210.152.19:9120/live/hzgq-ssws-h264.m3u8
新疆卫视,http://125.210.152.19:9120/live/hszx-xjtv-h264.m3u8
云南卫视,http://125.210.152.19:9120/live/hzgq-ynwsgq-h264.m3u8
重庆卫视,http://125.210.152.19:9120/live/hzgq-cqwsgq-h264.m3u8
广西卫视,http://218.204.51.252:9901/tsfile/live/1003_1.m3u8
东方卫视,http://218.204.51.252:9901/tsfile/live/1025_1.m3u8
北京卫视,http://218.204.51.252:9901/tsfile/live/1026_1.m3u8
黑龙江卫视,http://218.204.51.252:9901/tsfile/live/1028_1.m3u8
浙江卫视,http://218.204.51.252:9901/tsfile/live/1027_1.m3u8
辽宁卫视,http://218.204.51.252:9901/tsfile/live/1030_1.m3u8
江苏卫视,http://218.204.51.252:9901/tsfile/live/1029_1.m3u8
安徽卫视,http://218.204.51.252:9901/tsfile/live/1032_1.m3u8
广东卫视,http://218.204.51.252:9901/tsfile/live/1031_1.m3u8
江西卫视,http://218.204.51.252:9901/tsfile/live/1033_1.m3u8
山东卫视,http://218.204.51.252:9901/tsfile/live/1034_1.m3u8
湖南卫视,http://218.204.51.252:9901/tsfile/live/1035_1.m3u8
深圳卫视,http://218.204.51.252:9901/tsfile/live/1037_1.m3u8
湖北卫视,http://218.204.51.252:9901/tsfile/live/1036_1.m3u8
四川卫视,http://218.204.51.252:9901/tsfile/live/1038_1.m3u8
云南卫视,http://218.204.51.252:9901/tsfile/live/1040_1.m3u8
重庆卫视,http://218.204.51.252:9901/tsfile/live/1041_1.m3u8
天津卫视,http://218.204.51.252:9901/tsfile/live/1042_1.m3u8
河南卫视,http://218.204.51.252:9901/tsfile/live/1039_1.m3u8
新疆卫视,http://218.204.51.252:9901/tsfile/live/1044_1.m3u8
西藏卫视,http://218.204.51.252:9901/tsfile/live/1046_1.m3u8
山西卫视,http://218.204.51.252:9901/tsfile/live/1043_1.m3u8
河北卫视,http://218.204.51.252:9901/tsfile/live/1045_1.m3u8
贵州卫视,http://218.204.51.252:9901/tsfile/live/1047_1.m3u8
吉林卫视,http://218.204.51.252:9901/tsfile/live/1048_1.m3u8
青海卫视,http://218.204.51.252:9901/tsfile/live/1050_1.m3u8
宁夏卫视,http://218.204.51.252:9901/tsfile/live/1049_1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8

体育,#genre#
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8?zshangd
新视觉体育,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球体育,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
极速汽车体育,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
欢笑剧场4k,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
新视觉HD,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
新视觉体育,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8?zshangd
魅力足球体育,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8?zshangd
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8?zshangd
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8?zshangd
法治天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8?zshangd
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8?zshangd
上海教育,http://183.207.255.188/live/program/live/setv/1300000/mnf.m3u8?zshangd
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
法制天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
浦东财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8?zshangd
极速汽车体育,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8?zshangd
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8?zshangd
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8?zshangd
幸福彩,http://183.207.255.188/live/program/live/xfchd/4000000/mnf.m3u8?zshangd
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8?zshangd
金色频道,http://183.207.255.188/live/program/live/jingsepd/1300000/mnf.m3u8?zshangd
七彩戏剧,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8?zshangd
东方财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8?zshangd
